Title,Accession number,Author,Author affiliation,Corresponding author,Source,Abbreviated source title,Sponsor,Publisher,Volume,Issue,Pages,Issue date,Monograph title,Volume title,Part number,Publication year,Language,ISSN,E-ISSN,ISBN,ISBN13,DOI,Article number,Conference name,Conference date,Conference location,Conference code,CODEN,Document type,Abstract,Number of references,Main heading,Controlled/Subject terms,Uncontrolled terms,Classification code,Treatment,Funding details,Funding text,Access type,Database,Copyright,Data Provider
"Habit formation, equity premium and the evidence of Chinese market","20121214875490","Gao, Yuan-Jing (1); Wang, Yuan-Chang (2) ","(1) Faculty of Applied Foreign Language Studies, Yunnan University of Finance and Economics, Kunming, China (2) School of Mathematics, Yunnan Normal University, Kunming, China ","Gao, Y.-J.(gyjyyja@163.com) ","Advanced Materials Research","Adv. Mater. Res.","Fujian University of Technology; Xiamen University; Fuzhou University; Huaqiao University; University of Wollongong","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","472-475","","3134-3139","2012","Advanced Manufacturing Technology","","","2012","English","10226680","","","9783037853702","","","3rd international Conference on Manufacturing Science and Engineering, ICMSE 2012","March 27, 2012 - March 29, 2012","Xiamen, China","88970","","Conference article (CA)","This paper expands CCAPM by introducing habit Formation. It is introduced in utility function, and combines with real consumption to produce surplus consumption ratio. Surplus consumption ratio is used to describe economic boom or depression. Simulated data is also offered in the process when we look surplus consumption ratio as state variable, and then simulated data is produced. The result proves that the model can describe historic trend of financial data. It is necessary to support Chinese finical development that all Chinese's habit formation has steadily improved. © (2012) Trans Tech Publications.","4","Manufacture","Materials science","Chinese markets - Economic boom - Equity premium - Financial data - Habit formation - Simulated data - State variables - Surplus consumption ratio - Utility functions","537.1 Heat Treatment Processes - 951 Materials Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The research on dynamics evolution patterns of online public opinion","20134416919904","Du, Jin (1); Du, Yan Hui (2); Chen, Yu (3) ","(1) Chinese People's Public Security University, Yunnan Police Officer Academy, China (2) Chinese People's Public Security University, Beijing, China (3) Yunnan University, Kunming, China ","","Applied Mechanics and Materials","Appl. Mech. Mater.","Queensland University of Technology; Korea Maritime University; Hong Kong Industrial Technology Research Centre; Inha University; National Chengchi University; et al","Trans Tech Publications Ltd, Kreuzstrasse 10, Zurich-Durnten, CH-8635, Switzerland","411-414","","186-191","2013","Information Technology Applications in Industry II","","","2013","English","16609336","16627482","","9783037858646","10.4028/www.scientific.net/AMM.411-414.186","","2nd International Conference on Information Technology and Management Innovation, ICITMI 2013","July 23, 2013 - July 24, 2013","Zhuhai, China","100435","","Conference article (CA)","Dynamics evolution patterns play an important role on Public opinion nowadays. In this paper, developing rules and trends are discussed by means of Petri method of online public opinion. The public opinion online was analyzed as a 'stream' from which the conception of 'public opinion stream' was proposed and its control pattern was developed as well. Based on these, correlation degree variables between 'social network' cluster nodes were dynamically introduced, and general rules of public opinion streams between associated network cluster organizations were studied. The 'Public-opinion-stream correlation control pattern' which can regulate the relationship of social network cluster nodes and verify the empirical research of sociology, journalism and psychology. At last, artificial intelligence and decision support can be supplied to relevant industries by instructing system design and management system. © (2013) Trans Tech Publications, Switzerland.","10","Social aspects","Artificial intelligence - Decision support systems - Information technology - Management - Social networking (online)","Correlation control - Empirical research - Evolution patterns - Management systems - Network cluster - Online public opinions - Stream control - System design and managements","723 Computer Software, Data Handling and Applications - 723.4 Artificial Intelligence - 901.4 Impact of Technology on Society - 903 Information Science - 912.2 Management",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"An Agent Framework of Tourism Recommender System","20161602265825","Jia, Zhi Yang (1); Gao, Wei (2); Shi, Yi Jin (1) ","(1) Yunnan University, Tourism and Culture College, Lijiang; 674100, China (2) Yunnan Normal University, School of Information Science, 650500 Kunming, China ","Jia, Zhi Yang(jdyjazz@gmail.com) ","MATEC Web of Conferences","MATEC Web Conf.","HongKong Control Engineering and Information Science Research Association; International Frontiers of science and technology Research Association; National Chin-Yi University of Technology","EDP Sciences","44","","","March 8, 2016","2016 International Conference on Electronic, Information and Computer Engineering, ICEICE 2016","","1of1","2016","English","","2261236X","","","10.1051/matecconf/20164401005","01005","2016 International Conference on Electronic, Information and Computer Engineering, ICEICE 2016","April 26, 2016 - April 27, 2016","Hong Kong, Hong kong","119811","","Conference article (CA)","This paper proposes the development of an Agent framework for tourism recommender system. The recommender system can be featured as an online web application which is capable of generating a personalized list of preference attractions for tourists. Traditional technologies of classical recommender system application domains, such as collaborative filtering, content-based filtering and content-based filtering are effectively adopted in the framework. In the framework they are constructed as Agents that can generate recommendations respectively. Recommender Agent can generate recommender information by integrating the recommendations of Content-based Agent, collaborative filtering-based Agent and constraint-based Agent. In order to make the performance more effective, linear combination method of data fusion is applied. User interface is provided by the tourist Agent in form of webpages and mobile app. © Owned by the authors, published by EDP Sciences, 2016.","22","Recommender systems","Collaborative filtering - Data fusion - User interfaces","Agent Framework - Constraint-based agents - Content based filtering - Content-based - Linear combinations - Mobile app - Recommender agent - WEB application","722.2 Computer Peripheral Equipment - 723.2 Data Processing and Image Processing - 723.5 Computer Applications - 903.1 Information Sources and Analysis",,,,"Open Access","Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Q-learning based multi-intersection traffic signal control model","20115114606144","Song, Jiong (1); Jin, Zhao (2) ","(1) Yunnan Jiao Tong Vocational and Technical College, Kunming, 650101, China (2) Yunnan University, Kunming, 650091, China ","Song, J.(songjiong1967@sina.cn) ","2011 International Conference on System Science, Engineering Design and Manufacturing Informatization, ICSEM 2011","Int. Conf. Syst. Sci., Eng. Des. Manuf. Informatization, ICSEM","","IEEE Computer Society","2","","280-283","2011","2011 International Conference on System Science, Engineering Design and Manufacturing Informatization, ICSEM 2011","","","2011","English","","","","9781457702471","10.1109/ICSSEM.2011.6081298","6081298","2011 International Conference on System Science, Engineering Design and Manufacturing Informatization, ICSEM 2011","October 22, 2011 - October 23, 2011","Guiyang, China","87650","","Conference article (CA)","In multi-intersection urban traffic environment, conventional fixed-time traffic signal control methods expose low performance when face with complex and stochastic traffic conditions which caused by the interaction among multiple intersections. A Q-learning based traffic signal control model is proposed to deal with time-varying and stochastic traffic flow problem, which takes advantage of the specialty of autonomous learning inherent in Q-learning. The capacity of discovering autonomously optimal control policy corresponding to varying traffic conditions and no fixed mathematic control model is needed are the major advantages of this method. The experiment results in simulation environment also demonstrate this method is applicable and effective. © 2011 IEEE.","8","Traffic signals","Manufacture - Stochastic models - Stochastic systems - Street traffic control","Autonomous learning - Optimal control policy - Q-learning - Simulation environment - Stochastic traffic - Stochastic traffic flows - Traffic conditions - Traffic signal control","432.4 Highway Traffic Control - 537.1 Heat Treatment Processes - 922.1 Probability Theory - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Study on detection of black field and static frame in IPTV and mobile TV’s quality supervision","20150500480033","Lu, Xu (1); Ding, Hong Wei (1); Wang, Yong (2); Guo, Jia (2); Cheng, Hai Jie (1); Zhai, Ran (1) ","(1) School of information, Yunnan University, Kunming, China (2) Science and Technology Department Radio of Yunnan province, Kunming, China ","Ding, Hong Wei ","Advanced Materials Research","Adv. Mater. Res.","Caterpillar Inc.(USA); China University of Geosciences; Huazhong University of Science and Technology; Hubei Mechanical Engineering Society; Hubei University of Technology; Ordos College of Inner Mongolia University; Wuhan Textile University; Wuhan University of Technology","Trans Tech Publications Ltd","1037","","182-186","2014","","Development of Applied Engineering Sciences","1 of 1","2014","English","10226680","16628985","","9783038352686","10.4028/www.scientific.net/AMR.1037.182","","5th International Conference on Computing, Control and Industrial Engineering, CCIE 2014","October 25, 2014 - October 26, 2014","Wuhan, Hubei, China","110569","","Conference article (CA)","With the digital and networked development in information industry, people's requirements for video playback quality step up, and people put forward higher requirements to the regulatory work. After timely detecting factors which effect the quality of video playback, such as: mosaic, no sound, black field, supervision departments take corresponding measures to adjust the broadcast program which is beneficial to improve the playback quality. Among them, this article made some analysis on the static frame and black field which are important parts of the program content detection, and tells us the causes and characteristics of them. Then we design the detection method for these two kinds of phenomena by controlling the static frame and black field threshold size.Finally, we use the MATLAB program to realize the detection of the static frame and black field. © (2014) Trans Tech Publications, Switzerland.","4","MATLAB","Digital multimedia broadcasting - IPTV - Television broadcasting","Black field - Matlab programming - Mobile TV - Static frame - Threshold selection","716 Telecommunication; Radar, Radio and Television - 716.4 Television Systems and Equipment - 921 Mathematics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"Implementing traffic signal optimal control by multiagent reinforcement learning","20121914994046","Song, Jiong (1); Jin, Zhao (2); Zhu, WenJun (2) ","(1) Yunnan Jiao Tong Vocational and Technical College, Kunming, 650101, China (2) Yunnan University, Kunming, 650091, China ","Song, J. ","Proceedings of 2011 International Conference on Computer Science and Network Technology, ICCSNT 2011","Proc. Int. Conf. Comput. Sci. Netw. Technol., ICCSNT","","IEEE Computer Society","4","","2578-2582","2011","Proceedings of 2011 International Conference on Computer Science and Network Technology, ICCSNT 2011","","","2011","English","","","","9781457715846","10.1109/ICCSNT.2011.6182495","6182495","2011 International Conference on Computer Science and Network Technology, ICCSNT 2011","December 24, 2011 - December 26, 2011","Harbin, China","89506","","Conference article (CA)","In urban traffic environment, the traffic flow is more difficult to be predicted properly because the interaction and intertwinement among multiple crossroads, which makes preset traffic control model can not keep always high performance in all traffic situations. Considering the capability of autonomous learning being inherent in reinforcement learning, we propose a multiagent reinforcement learning based traffic signal control method. Without preset control model, multiple collaborative agents can learn the optimal control policy corresponding real traffic situation. The experiment results demonstrate the applicability and effectiveness of our approach. © 2011 IEEE.","9","Traffic signals","Autonomous agents - Computer networks - E-learning - Multi agent systems - Reinforcement learning - Street traffic control","Autonomous learning - Multi-agent reinforcement learning - Multi-crossroads urban traffics - Traffic flow - Traffic signal control","432.4 Highway Traffic Control - 723.4 Artificial Intelligence",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"A model of web services with QoS based on MAS","20101612856554","Yan, Kai (1); Hu, Yan (2); Lu Jr., Ge-Hao (3) ","(1) Lab. of Network Intelligent Computing, Yunnan University, Kunming, 650091, China (2) YunNan University, Kunming, 650091, China (3) National Pilot School of Software, Yunnan University, Kunming, 650091, China ","Yan, K.(todayyk@gmail.com) ","2009 IEEE International Conference on Grey Systems and Intelligent Services, GSIS 2009","IEEE Int. Conf. Grey Syst. Intelligent Serv., GSIS","","IEEE Computer Society","","","1439-1443","2009","2009 IEEE International Conference on Grey Systems and Intelligent Services, GSIS 2009","","","2009","English","","","","9781424449149","10.1109/GSIS.2009.5408139","5408139","2009 IEEE International Conference on Grey Systems and Intelligent Services, GSIS 2009","November 10, 2009 - November 12, 2009","Nanjing, China","79706","","Conference article (CA)","Web Services is a service-oriented architecture of Web-based standard software components, while the Agent is intelligent software entity which has its own ability to achieve its designed goals in a heterogeneous environment. In order to improve the qualities of Web Services, this paper introduced a QoS module to Web Services and proposed Agent Web Services System (AWSS) for the composition of Web Services, which explored the use of Agent technology for searching and binding Web Services in line with the users' demands. Finally, we deployed AWSS, which achieved our goal of distributing our tasks, and also could invoke and bind Web Services dynamically. ©2009 IEEE.","11","Web services","Information services - Quality of service - Service oriented architecture (SOA) - Software agents - System theory - Websites","Agent technology - Binding web services - Heterogeneous environments - Intelligent software - Modeling of web services - Web-based standards","722.4 Digital Computers and Systems - 903.4 Information Services - 961 Systems Science",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"RETRACTED ARTICLE: Shaping agent by critical states","20114014404536","Jiong, Song (1); Zhao, Jin (2) ","(1) Yunnan Jiao Tong Vocational and Technical College, Kunming, 650101, China (2) Yunnan University, Kunming, 650091, China ","Jiong, S. ","Proceedings - 2011 7th International Conference on Natural Computation, ICNC 2011","Proc. - Int. Conf. Nat. Comput., ICNC","Coll. Inf. Sci. Technol. Donghua Univ.","IEEE Computer Society","3","","1314-1317","2011","Proceedings - 2011 7th International Conference on Natural Computation, ICNC 2011","","","2011","English","","","","9781424499533","10.1109/ICNC.2011.6022342","6022342","2011 7th International Conference on Natural Computation, ICNC 2011","July 26, 2011 - July 28, 2011","Shanghai, China","86795","","Conference article (CA)","Shaping is a promising technique for scaling Reinforcement Learning to large and complex problems. But the design and tune of shaping reward are difficult and problem-oriented. We propose an approach to make agent can shape itself by critical states, which are found by agent itself from prior learning. We accumulate the state trajectories that agent experienced in every training episode, and eliminate the state loops existed in the original state trajectories, then the acyclic state trajectories are used to find the critical states. The critical state is a state that has high probability to appear in all these acyclic state trajectories, that means, if agent wants to reach the goal state, then it would have high probability to pass the critical states. So the critical states can be used to shape agent reaching the goal state faster. The Grid-World problem is used to illustrate the applicability and effectiveness of our approach. The more important is our approach makes agent can shape itself by what it learned. © 2011 IEEE.","12","Trajectories","Critical current density (superconductivity) - Reinforcement learning","Complex problems - Critical state - High probability - Original state - State trajectory","701.1 Electricity: Basic Concepts and Phenomena - 723.4 Artificial Intelligence",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The research of mechanical automated stereo garage of automobile","20125215835667","Song, Zhilan (1); Ran, Wenxue (1); Wu, Junshuai (1) ","(1) Yunnan University of Finance and Economics, 237 Longquan Road, Wuhua District, Kunming, China ","Song, Z.(ksecszhl@vip.sina.com) ","Applied Mechanics and Materials","Appl. Mech. Mater.","Science and Engineering Institute; Universiti Putra Malaysia","Trans Tech Publications, P.O. Box 1254, Clausthal-Zellerfeld, D-38670, Germany","229-231","","607-612","2012","Mechanical and Electrical Technology IV","","","2012","English","16609336","16627482","","9783037855102","10.4028/www.scientific.net/AMM.229-231.607","","4th International Conference on Mechanical and Electrical Technology, ICMET 2012","July 24, 2012 - July 26, 2012","Kuala Lumpur, Malaysia","94581","","Conference article (CA)","With the rapid development of modern automotive industry and people's living standards improvement, more and more families have private cars; As the agricultural people migrate to the cities, the urban population expand rapidly.Because of the non-renewable land resources, many cultivated lands are used for building residence communities in many cities. As a populous and agricultural country like China, the decrease of long-term cultivated land can result in severe food shortages. Combining the objective reality of China's automobile hot and the difficulty of parking, this paper studies the necessity and importance of mechanical automated stereo garage of automobile, and discusses the various forms and structures of mechanical automated stereo garage of automobile. © (2012) Trans Tech Publications, Switzerland.",,"Automobiles","Agriculture - Automation - Automotive industry - Garages (parking)","Cultivated lands - Land resources - Living standards - Mechanical - Non-renewable - Objective reality - Private cars - Urban population","821 Agricultural Equipment and Methods; Vegetation and Pest Control - 732 Control Devices - 731 Automatic Control Principles and Applications - 664 Automotive Engineering, General - 663 Buses, Tractors and Trucks - 662.1 Automobiles - 662 Automobiles and Smaller Vehicles - 661 Automotive Engines and Related Equipment - 402.2 Public Buildings",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
"The discussion of target cost method in logistics cost management","20094812507808","Fu, Weiyi (1); Yang, Luming (1) ","(1) Business and Tourism Management School, Yunnan University, Kunming, Yunnan, China ","Fu, W.(prettypotato@126.com) ","2009 Second ISECS International Colloquium on Computing, Communication, Control, and Management, CCCM 2009","Second ISECS Int. Colloq. Comput., Commun., Control, Manage., CCCM","et al.; Guangdong University of Business Studies; IEEE SMC TC on Education Technology and Training; IEEE Technology Management Council; Wuhan Institute of Technology; Yangzhou University","IEEE Computer Society","4","","537-540","2009","2009 Second ISECS International Colloquium on Computing, Communication, Control, and Management, CCCM 2009","","","2009","English","","","","9781424442461","10.1109/CCCM.2009.5267517","5267517","2009 Second ISECS International Colloquium on Computing, Communication, Control, and Management, CCCM 2009","August 8, 2009 - August 9, 2009","Sanya, China","78411","","Conference article (CA)","This paper analyzed the application status of target cost method in the logistics cost management, summed up the problems that many enterprises confront, and explored why. In order to help them address these issues, this paper puts forward a number of suggestions, such as selecting an appropriate logistics cost management methods, using information technology to manage comprehensively and systematically, making reasonable target costs, establishing a good relationship with stakeholders and setting up target cost management systems. ©2009 IEEE.","6","Costs","Information management","Application status - Logistics costs - Target cost","911 Cost and Value Engineering; Industrial Economics",,,,,"Compendex","Compilation and indexing terms, Copyright 2019 Elsevier Inc.","Engineering Village"
